NAME_CANDIDATE,NUM_CONDITIONAL,NUM_SWITCH,NUM_TYPE_ACCESS,NUM_INVOCATION,NUM_IF,NUM_ASSIGN,NUM_TYPED_ELEMENTS,NUM_VAR_ACCESS,NUM_FIELD_ACCESS,NUM_LOCAL,NUM_PACKAGE,LOC_CANDIDATE,LOC_RATIO,CON_CONDITIONAL,CON_SWITCH,CON_TYPE_ACCESS,CON_INVOCATION,CON_IF,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_VAR_ACCESS,CON_FIELD_ACCESS,CON_LOCAL,CON_PACKAGE,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
t = (Template) d;,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,21.0,1.0,0.058823529411764705,-1.0,0.0,0.0,10.0,20.0,4.0,5.0,194.0,42.0,8.0,6.0,441.0,0.25,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.046153846153846156,0.046153846153846156,3.0,3.0
"t = (Template) d;
dates = templateDates.get(i);",-1.0,0.0,0.0,1.0,1.0,0.0,2.0,14.0,4.0,1.0,0.0,42.0,2.0,0.11764705882352941,-1.0,0.0,0.0,10.0,19.0,4.0,4.0,187.0,40.0,7.0,6.0,420.0,0.5,0.25,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.5,0.0,0.09230769230769231,0.09230769230769231,3.0,3.0
"t = (Template) d;
dates = templateDates.get(i);
if (dates[0] != null && dates[1] != null)
                    clone.addTemplate(t, new Date(dates[0].getTime()),
                                      new Date(dates[1].getTime()),
                                      t.getAppliedAction());
                else if (dates[0] == null && dates[1] != null)
                    clone.addTemplate(t, null,
                                      new Date(dates[1].getTime()),
                                      t.getAppliedAction());
                else if (dates[0] != null && dates[1] == null)
                    clone.addTemplate(t, new Date(dates[0].getTime()),
                                      null,
                                      t.getAppliedAction());
                else
                    clone.addTemplate(t, null, null, t.getAppliedAction());/*}*/",-1.0,0.0,0.0,1.0,13.0,2.0,2.0,125.0,26.0,1.0,0.0,252.0,3.0,0.17647058823529413,-1.0,0.0,0.0,10.0,7.0,2.0,4.0,76.0,18.0,7.0,6.0,210.0,0.9166666666666666,0.9,3.6666666666666665,3.0,0.5,0.0,0.3333333333333333,0.0,1.0,1.3333333333333333,-1.0,-1.0,1.0,0.0,0.3333333333333333,0.0,0.5538461538461539,0.5538461538461539,12.0,12.0
dates = templateDates.get(i);,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,21.0,1.0,0.058823529411764705,-1.0,0.0,0.0,11.0,19.0,4.0,5.0,194.0,42.0,7.0,6.0,441.0,0.5,0.16666666666666666,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.046153846153846156,3.0,3.0
"dates = templateDates.get(i);
if (dates[0] != null && dates[1] != null)
                    clone.addTemplate(t, new Date(dates[0].getTime()),
                                      new Date(dates[1].getTime()),
                                      t.getAppliedAction());
                else if (dates[0] == null && dates[1] != null)
                    clone.addTemplate(t, null,
                                      new Date(dates[1].getTime()),
                                      t.getAppliedAction());
                else if (dates[0] != null && dates[1] == null)
                    clone.addTemplate(t, new Date(dates[0].getTime()),
                                      null,
                                      t.getAppliedAction());
                else
                    clone.addTemplate(t, null, null, t.getAppliedAction());/*}*/",-1.0,0.0,0.0,0.0,13.0,2.0,1.0,118.0,24.0,1.0,0.0,231.0,2.0,0.11764705882352941,-1.0,0.0,0.0,11.0,7.0,2.0,5.0,83.0,20.0,7.0,6.0,231.0,0.9166666666666666,0.8,5.5,4.0,0.5,0.0,0.5,0.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.5076923076923077,0.5076923076923077,16.5,16.5
"if (dates[0] != null && dates[1] != null)
                    clone.addTemplate(t, new Date(dates[0].getTime()),
                                      new Date(dates[1].getTime()),
                                      t.getAppliedAction());
                else if (dates[0] == null && dates[1] != null)
                    clone.addTemplate(t, null,
                                      new Date(dates[1].getTime()),
                                      t.getAppliedAction());
                else if (dates[0] != null && dates[1] == null)
                    clone.addTemplate(t, new Date(dates[0].getTime()),
                                      null,
                                      t.getAppliedAction());
                else
                    clone.addTemplate(t, null, null, t.getAppliedAction());/*}*/",-1.0,0.0,0.0,0.0,12.0,2.0,0.0,111.0,22.0,0.0,0.0,210.0,1.0,0.058823529411764705,-1.0,0.0,0.0,11.0,8.0,2.0,6.0,90.0,22.0,8.0,6.0,252.0,0.8333333333333334,0.8,10.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.46153846153846156,30.0,30.0
m = (ManualAction) d;,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,21.0,1.0,0.058823529411764705,-1.0,0.0,0.0,10.0,20.0,4.0,5.0,194.0,42.0,8.0,6.0,441.0,0.3333333333333333,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.046153846153846156,0.046153846153846156,3.0,3.0
"m = (ManualAction) d;
clone.addManualAction((ManualAction) m.clone());",-1.0,0.0,0.0,2.0,2.0,0.0,1.0,19.0,4.0,0.0,0.0,56.0,2.0,0.11764705882352941,-1.0,0.0,0.0,9.0,18.0,4.0,5.0,182.0,40.0,8.0,6.0,406.0,0.6666666666666666,0.25,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,-1.0,-1.0,1.0,1.0,0.5,0.5,0.12307692307692308,0.12307692307692308,4.0,4.0
clone.addManualAction((ManualAction) m.clone());,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,2.0,0.0,0.0,35.0,1.0,0.058823529411764705,-1.0,0.0,0.0,10.0,18.0,4.0,6.0,189.0,42.0,8.0,6.0,427.0,0.3333333333333333,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.07692307692307693,0.07692307692307693,5.0,5.0
d = actions.get(i);,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,21.0,1.0,0.058823529411764705,-1.0,0.0,0.0,11.0,19.0,4.0,5.0,194.0,42.0,7.0,6.0,441.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.046153846153846156,0.046153846153846156,3.0,3.0
